今日无辣不欢？,1,spicy
吃点辣的驱驱寒？,1,spicy
今天我不想吃辣？,0,spicy
辣，我要吃辣！,1,spicy
最近吃辣上瘾？,0,spicy
我可一点辣都碰不得？,0,spicy
今天我要吃得膳食均衡？,1,balance
今天我是个肉食主义者？,0,balance
饿~我要吃肉(⊙﹏⊙)？,0,balance
肉肉肉，多多益善？,0,balance
这顿我要健康饮食？,1,balance
我就是要吃肉！！,0,balance
啥都不管饭够香就行了？,1,oil
我在减肥不要重油饮食？,0,oil
这顿请让我吃得清淡点？,0,oil
给我的肠道减减肥？,0,oil
我要吃鱼？,1,seafood
我爱吃鱼？,1,seafood
地上跑的吃腻了？,1,seafood
我想吃点水里游的？,1,seafood
我不怕鱼骨头？,1,seafood
我想吃米饭？,1,rice
来碗米饭吧？,1,rice
这顿我要吃米饭？,1,rice
米饭使我满足？,1,rice
我要香喷喷的米饭？,1,rice
这顿吃饭使我满足o(*￣︶￣*)o？,1,rice
这顿吃饭才是我的选择！,1,rice
给我来碗面？,1,noodles
不如给我来碗面？,1,noodles
这顿我要吃面！,1,noodles
这顿吃面使我满足o(*￣︶￣*)o？,1,noodles
这顿吃面才是我的选择！,1,noodles
这顿来碗面吧？,1,noodles
给我来碗粉吧？,1,mifen
这顿吃粉是我的选择！,1,mifen
不如给我来碗粉？,1,mifen
这顿我要吃粉！,1,mifen
这顿吃粉使我满足o(*￣︶￣*)o？,1,mifen